Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	BEGUM
Comments:	
Date:	4/30/17 11:03 AM
Duration:	03:30:14'48
Activities:	Ciclo indoor
Max HR:	152
Average HR:	77
Calories:	167
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1493568627752	2017-04-30 11:10:27.752	00:06:30	122	OK
1493568628744	2017-04-30 11:10:28.744	00:06:32	124	OK
1493568629753	2017-04-30 11:10:29.753	00:06:33	125	OK
1493568630757	2017-04-30 11:10:30.757	00:06:33	126	OK
1493568631759	2017-04-30 11:10:31.759	00:06:35	129	OK
1493568632746	2017-04-30 11:10:32.746	00:06:35	130	OK
1493568633728	2017-04-30 11:10:33.728	00:06:35	131	OK
1493568634735	2017-04-30 11:10:34.735	00:06:38	133	OK
1493568635728	2017-04-30 11:10:35.728	00:06:38	135	OK
1493568636717	2017-04-30 11:10:36.717	00:06:40	136	OK
